Gene_id,Genename,log2FoldChange(CIPvsH2O),significant(CIPvsH2O),CIP_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b3003,yghA,-0.87503,DOWN,110.66390964987265,126.71420111170899,GO:0031323//GO:0044238//GO:0071704//GO:0065007//GO:1901360//GO:0033554//GO:0034641//GO:0080090//GO:0051716//GO:0044710//GO:0006974//GO:0008152//GO:0009987//GO:0019219//GO:0090304//GO:0080135//GO:0044763//GO:0050789//GO:0044237//GO:0006281//GO:0046483//GO:0048583//GO:0044260//GO:0006282//GO:0044699//GO:0043170//GO:0055114//GO:2001020//GO:0051052//GO:0006725//GO:0050896//GO:0008150//GO:0019222//GO:0006807//GO:0006139//GO:0060255//GO:0006950//GO:0080134//GO:0006259//GO:0050794//GO:0051171,regulation of cellular metabolic process//primary metabolic process//organic substance metabolic process//biological regulation//organic cyclic compound metabolic process//cellular response to stress//cellular nitrogen compound metabolic process//regulation of primary metabolic process//cellular response to stimulus//single-organism metabolic process//cellular response to DNA damage stimulus//metabolic process//cellular process//regulation of nucleobase-containing compound metabolic process//nucleic acid metabolic process//regulation of cellular response to stress//single-organism cellular process//regulation of biological process//cellular metabolic process//DNA repair//heterocycle metabolic process//regulation of response to stimulus//cellular macromolecule metabolic process//regulation of DNA repair//single-organism process//macromolecule metabolic process//oxidation-reduction process//regulation of response to DNA damage stimulus//regulation of DNA metabolic process//cellular aromatic compound metabolic process//response to stimulus//biological_process//regulation of metabolic process//nitrogen compound metabolic process//nucleobase-containing compound metabolic process//regulation of macromolecule metabolic process//response to stress//regulation of response to stress//DNA metabolic process//regulation of cellular process//regulation of nitrogen compound metabolic process,--,--,GO:0003674//GO:0003824//GO:0016491,molecular_function//catalytic activity//oxidoreductase activity,no KO assigned | (RefSeq) yghA; putative oxidoreductase,http://www.genome.jp/dbget-bin/www_bget?eco:b3003,putative oxidoreductase,-16.050291461836338,674.0,784.0,1458.0
b3001,gpr,-0.56573,DOWN,318.6438965303455,305.24149754362634,--,--,--,--,--,--,K19265 L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-] | (RefSeq) gpr; L-glyceraldehyde 3-phosphate reductase,http://www.genome.jp/dbget-bin/www_bget?eco:b3001,L-glyceraldehyde 3-phosphate reductase,13.402398986719163,392.0,1072.0,1464.0
b4260,pepA,-0.54509,DOWN,336.878011685689,319.96458884896964,GO:0043170//GO:0019538//GO:0008150//GO:0071704//GO:0044238//GO:0006508//GO:0008152,macromolecule metabolic process//protein metabolic process//biological_process//organic substance metabolic process//primary metabolic process//proteolysis//metabolic process,GO:0005575//GO:0044464//GO:0005623//GO:0005622,cellular_component//cell part//cell//intracellular,GO:0004177//GO:0016787//GO:0008238//GO:0008233//GO:0003674//GO:0003824//GO:0070011,"aminopeptidase activity//hydrolase activity//exopeptidase activity//peptidase activity//molecular_function//catalytic activity//peptidase activity, acting on L-amino acid peptides","K01255 leucyl aminopeptidase [EC:3.4.11.1] | (RefSeq) pepA; multifunctional aminopeptidase A: a cyteinylglycinase, transcription regulator and site-specific recombination factor",http://www.genome.jp/dbget-bin/www_bget?eco:b4260,multifunctional aminopeptidase A: a cyteinylglycinase%2C transcription regulator and site-specific recombination factor,16.91342283671935,375.0,1090.0,1465.0
b2479,gcvR,-0.81939,DOWN,123.6904455552995,144.52372996456165,GO:0008152//GO:0008150,metabolic process//biological_process,--,--,GO:0036094//GO:0043177//GO:0003674//GO:0016597//GO:0005488//GO:0043167//GO:0031406//GO:0043168,small molecule binding//organic acid binding//molecular_function//amino acid binding//binding//ion binding//carboxylic acid binding//anion binding,"K03567 glycine cleavage system transcriptional repressor | (RefSeq) gcvR; transcriptional repressor, regulatory protein accessory to GcvA",http://www.genome.jp/dbget-bin/www_bget?eco:b2479,transcriptional repressor%2C regulatory protein accessory to GcvA,-20.83328440926215,632.0,834.0,1466.0
b4135,yjdC,-0.49539,DOWN,389.03306067924746,356.2448485428047,--,--,--,--,GO:0097159//GO:0005488//GO:1901363//GO:0003674//GO:0003676//GO:0003677,organic cyclic compound binding//binding//heterocyclic compound binding//molecular_function//nucleic acid binding//DNA binding,no KO assigned | (RefSeq) yjdC; putative transcriptional regulator,http://www.genome.jp/dbget-bin/www_bget?eco:b4135,putative transcriptional regulator,32.78821213644278,340.0,1126.0,1466.0
b0773,ybhB,-0.65153,DOWN,245.001460095548,241.111936971153,--,--,--,--,--,--,"K06910 uncharacterized protein | (RefSeq) ybhB; kinase inhibitor homolog, UPF0098 family",http://www.genome.jp/dbget-bin/www_bget?eco:b0773,kinase inhibitor homolog%2C UPF0098 family,3.889523124394998,472.0,997.0,1469.0
b0529,folD,-0.71032,DOWN,191.131738255426,205.62332001047332,GO:0051186//GO:0044710//GO:0016053//GO:0008152//GO:0042398//GO:0009987//GO:0019318//GO:0044283//GO:0044763//GO:0009108//GO:0044281//GO:0044271//GO:0044711//GO:0006760//GO:0009058//GO:0008652//GO:0071704//GO:0044238//GO:1901362//GO:1901360//GO:0009396//GO:0044249//GO:0043603//GO:0005975//GO:0019438//GO:0034641//GO:0046394//GO:0043604//GO:1901576//GO:0008150//GO:0006807//GO:0006012//GO:0019752//GO:0042559//GO:0051188//GO:0018130//GO:0006732//GO:1901564//GO:0044237//GO:0046483//GO:0006575//GO:0006520//GO:0044699//GO:1901566//GO:0043436//GO:0006082//GO:0055114//GO:0044723//GO:1901607//GO:0006725//GO:0042558//GO:0005996//GO:1901605,cofactor metabolic process//single-organism metabolic process//organic acid biosynthetic process//metabolic process//cellular modified amino acid biosynthetic process//cellular process//hexose metabolic process//small molecule biosynthetic process//single-organism cellular process//coenzyme biosynthetic process//small molecule metabolic process//cellular nitrogen compound biosynthetic process//single-organism biosynthetic process//folic acid-containing compound metabolic process//biosynthetic process//cellular amino acid biosynthetic process//organic substance metabolic process//primary metabolic process//organic cyclic compound biosynthetic process//organic cyclic compound metabolic process//folic acid-containing compound biosynthetic process//cellular biosynthetic process//cellular amide metabolic process//carbohydrate metabolic process//aromatic compound biosynthetic process//cellular nitrogen compound metabolic process//carboxylic acid biosynthetic process//amide biosynthetic process//organic substance biosynthetic process//biological_process//nitrogen compound metabolic process//galactose metabolic process//carboxylic acid metabolic process//pteridine-containing compound biosynthetic process//cofactor biosynthetic process//heterocycle biosynthetic process//coenzyme metabolic process//organonitrogen compound metabolic process//cellular metabolic process//heterocycle metabolic process//cellular modified amino acid metabolic process//cellular amino acid metabolic process//single-organism process//organonitrogen compound biosynthetic process//oxoacid metabolic process//organic acid metabolic process//oxidation-reduction process//single-organism carbohydrate metabolic process//alpha-amino acid biosynthetic process//cellular aromatic compound metabolic process//pteridine-containing compound metabolic process//monosaccharide metabolic process//alpha-amino acid metabolic process,--,--,GO:0016616//GO:0003674//GO:0003824//GO:0070569//GO:0016740//GO:1901363//GO:0000166//GO:0050662//GO:0016614//GO:0036094//GO:0016645//GO:0048037//GO:0016772//GO:0051287//GO:0016491//GO:0016779//GO:1901265//GO:0004488//GO:0008108//GO:0005488//GO:0097159//GO:0016646,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//molecular_function//catalytic activity//uridylyltransferase activity//transferase activity//heterocyclic compound binding//nucleotide binding//coenzyme binding//oxidoreductase activity, acting on CH-OH group of donors//small molecule binding//oxidoreductase activity, acting on the CH-NH group of donors//cofactor binding//transferase activity, transferring phosphorus-containing groups//NAD binding//oxidoreductase activity//nucleotidyltransferase activity//nucleoside phosphate binding//methylenetetrahydrofolate dehydrogenase (NADP+) activity//UDP-glucose:hexose-1-phosphate uridylyltransferase activity//binding//organic cyclic compound binding//oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","K01491 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9] | (RefSeq) folD; bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase",http://www.genome.jp/dbget-bin/www_bget?eco:b0529,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/ 5%2C10-methylene-tetrahydrofolate cyclohydrolase,-14.49158175504732,520.0,951.0,1471.0
b2805,fucR,-0.84634,DOWN,103.40442609791211,130.69596503339434,GO:2000112//GO:0050794//GO:0051171//GO:1901564//GO:0018130//GO:0030163//GO:0044265//GO:1903506//GO:0043632//GO:0010467//GO:0019941//GO:0060255//GO:0016070//GO:0019752//GO:0006139//GO:0006511//GO:0006807//GO:0006351//GO:0019222//GO:0009057//GO:0097659//GO:0008150//GO:1901576//GO:0031326//GO:1901605//GO:0009056//GO:0006725//GO:0006352//GO:0006355//GO:0006082//GO:0043170//GO:0043436//GO:0019538//GO:0044699//GO:0032774//GO:0044260//GO:0006520//GO:0050789//GO:0010556//GO:0046483//GO:0044237//GO:0051252//GO:0044271//GO:0044281//GO:0044763//GO:0034645//GO:0009064//GO:2001141//GO:0034654//GO:0090304//GO:0009059//GO:0019219//GO:0010468//GO:0009987//GO:0008152//GO:0044710//GO:0034641//GO:0044248//GO:0080090//GO:0009889//GO:0019438//GO:0044249//GO:0044267//GO:0006525//GO:1901360//GO:1901575//GO:0065007//GO:1901362//GO:0031323//GO:0044238//GO:0071704//GO:0044257//GO:0006508//GO:0051603//GO:0009058,"regulation of cellular macromolecule biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//organonitrogen compound metabolic process//heterocycle biosynthetic process//protein catabolic process//cellular macromolecule catabolic process//regulation of nucleic acid-templated transcription//modification-dependent macromolecule catabolic process//gene expression//modification-dependent protein catabolic process//regulation of macromolecule metabolic process//RNA metabolic process//carboxylic acid metabolic process//nucleobase-containing compound metabolic process//ubiquitin-dependent protein catabolic process//nitrogen compound metabolic process//transcription, DNA-templated//regulation of metabolic process//macromolecule catabolic process//nucleic acid-templated transcription//biological_process//organic substance biosynthetic process//regulation of cellular biosynthetic process//alpha-amino acid metabolic process//catabolic process//cellular aromatic compound metabolic process//DNA-templated transcription, initiation//regulation of transcription, DNA-templated//organic acid metabolic process//macromolecule metabolic process//oxoacid metabolic process//protein metabolic process//single-organism process//RNA biosynthetic process//cellular macromolecule metabolic process//cellular amino acid metabolic process//regulation of biological process//regulation of macromolecule biosynthetic process//heterocycle metabolic process//cellular metabolic process//regulation of RNA metabolic process//cellular nitrogen compound biosynthetic process//small molecule metabolic process//single-organism cellular process//cellular macromolecule biosynthetic process//glutamine family amino acid metabolic process//regulation of RNA biosynthetic process//nucleobase-containing compound biosynthetic process//nucleic acid metabolic process//macromolecule biosynthetic process//regulation of nucleobase-containing compound metabolic process//regulation of gene expression//cellular process//metabolic process//single-organism metabolic process//cellular nitrogen compound metabolic process//cellular catabolic process//regulation of primary metabolic process//regulation of biosynthetic process//aromatic compound biosynthetic process//cellular biosynthetic process//cellular protein metabolic process//arginine metabolic process//organic cyclic compound metabolic process//organic substance catabolic process//biological regulation//organic cyclic compound biosynthetic process//regulation of cellular metabolic process//primary metabolic process//organic substance metabolic process//cellular protein catabolic process//proteolysis//proteolysis involved in cellular protein catabolic process//biosynthetic process",GO:0005575//GO:0044464//GO:0005623//GO:0005622,cellular_component//cell part//cell//intracellular,GO:0001071//GO:0005515//GO:0031625//GO:0003726//GO:0003700//GO:0097159//GO:0005488//GO:0003723//GO:0016787//GO:0019239//GO:0000988//GO:0043565//GO:0000990//GO:0003674//GO:0003824//GO:0003677//GO:0003676//GO:0000996//GO:0016814//GO:0016987//GO:0019899//GO:0044389//GO:0004000//GO:0016810//GO:1901363,"nucleic acid binding transcription factor activity//protein binding//ubiquitin protein ligase binding//double-stranded RNA adenosine deaminase activity//transcription factor activity, sequence-specific DNA binding//organic cyclic compound binding//binding//RNA binding//hydrolase activity//deaminase activity//transcription factor activity, protein binding//sequence-specific DNA binding//transcription factor activity, core RNA polymerase binding//molecular_function//catalytic activity//DNA binding//nucleic acid binding//core DNA-dependent RNA polymerase binding promoter specificity activity//hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines//sigma factor activity//enzyme binding//ubiquitin-like protein ligase binding//adenosine deaminase activity//hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds//heterocyclic compound binding","K02430 DeoR family transcriptional regulator, L-fucose operon activator | (RefSeq) fucR; l-fucose operon activator",http://www.genome.jp/dbget-bin/www_bget?eco:b2805,l-fucose operon activator,-27.291538935482237,664.0,808.0,1472.0
b0071,leuD,-1.2686,DOWN,19.087630930175848,33.24061546339296,GO:0008152//GO:0008150,metabolic process//biological_process,--,--,--,--,K01704 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35] | (RefSeq) leuD; 3-isopropylmalate dehydratase small subunit,http://www.genome.jp/dbget-bin/www_bget?eco:b0071,3-isopropylmalate dehydratase small subunit,-14.152984533217115,1006.0,466.0,1472.0
b1920,fliY,-0.69318,DOWN,210.07746513603502,217.83905423223965,--,--,GO:0005575//GO:0016020,cellular_component//membrane,GO:0005216//GO:0015075//GO:0005230//GO:0060089//GO:0004871//GO:0022836//GO:0004888//GO:0005488//GO:0005215//GO:0022803//GO:0022834//GO:0022892//GO:0005231//GO:0004970//GO:0004872//GO:0005234//GO:0005515//GO:0022838//GO:0015276//GO:0038023//GO:0008066//GO:0022891//GO:0015267//GO:0003674//GO:0022857,ion channel activity//ion transmembrane transporter activity//extracellular ligand-gated ion channel activity//molecular transducer activity//signal transducer activity//gated channel activity//transmembrane signaling receptor activity//binding//transporter activity//passive transmembrane transporter activity//ligand-gated channel activity//substrate-specific transporter activity//excitatory extracellular ligand-gated ion channel activity//ionotropic glutamate receptor activity//receptor activity//extracellular-glutamate-gated ion channel activity//protein binding//substrate-specific channel activity//ligand-gated ion channel activity//signaling receptor activity//glutamate receptor activity//substrate-specific transmembrane transporter activity//channel activity//molecular_function//transmembrane transporter activity,K02424 cystine transport system substrate-binding protein | (RefSeq) fliY; cystine transporter subunit,http://www.genome.jp/dbget-bin/www_bget?eco:b1920,cystine transporter subunit,-7.761589096204631,508.0,964.0,1472.0
b1107,nagZ,-0.9296,DOWN,82.34840930009341,103.27943680138283,GO:0008150//GO:0044238//GO:0071704//GO:0005975//GO:0008152,biological_process//primary metabolic process//organic substance metabolic process//carbohydrate metabolic process//metabolic process,--,--,GO:0016798//GO:0016787//GO:0003824//GO:0003674//GO:0004553,"hydrolase activity, acting on glycosyl bonds//hydrolase activity//catalytic activity//molecular_function//hydrolase activity, hydrolyzing O-glycosyl compounds",K01207 beta-N-acetylhexosaminidase [EC:3.2.1.52] | (RefSeq) nagZ; beta N-acetyl-glucosaminidase,http://www.genome.jp/dbget-bin/www_bget?eco:b1107,beta N-acetyl-glucosaminidase,-20.93102750128942,743.0,731.0,1474.0
b0887,cydD,-0.97815,DOWN,66.944108614874,85.88256027823803,GO:0055085//GO:1902578//GO:0009987//GO:0044763//GO:0044765//GO:0044699//GO:0008150//GO:0006810//GO:0051234//GO:0051179,transmembrane transport//single-organism localization//cellular process//single-organism cellular process//single-organism transport//single-organism process//biological_process//transport//establishment of localization//localization,GO:0016021//GO:0016020//GO:0005575//GO:0044425//GO:0031224,integral component of membrane//membrane//cellular_component//membrane part//intrinsic component of membrane,GO:0016818//GO:0032553//GO:0030554//GO:0043492//GO:0016772//GO:0000166//GO:1901363//GO:0003924//GO:0016820//GO:0036094//GO:0017076//GO:0003674//GO:0003824//GO:0005524//GO:0016301//GO:0016887//GO:0016462//GO:0022857//GO:0016740//GO:0032561//GO:0016817//GO:0042626//GO:0015405//GO:0015399//GO:0043167//GO:0001882//GO:0005525//GO:0097367//GO:0035639//GO:0016787//GO:0005488//GO:0097159//GO:1901265//GO:0019001//GO:0001883//GO:0017111//GO:0032559//GO:0042623//GO:0032555//GO:0032549//GO:0005215//GO:0022804//GO:0043168//GO:0032550,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides//ribonucleotide binding//adenyl nucleotide binding//ATPase activity, coupled to movement of substances//transferase activity, transferring phosphorus-containing groups//nucleotide binding//heterocyclic compound binding//GTPase activity//hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances//small molecule binding//purine nucleotide binding//molecular_function//catalytic activity//ATP binding//kinase activity//ATPase activity//pyrophosphatase activity//transmembrane transporter activity//transferase activity//guanyl ribonucleotide binding//hydrolase activity, acting on acid anhydrides//ATPase activity, coupled to transmembrane movement of substances//P-P-bond-hydrolysis-driven transmembrane transporter activity//primary active transmembrane transporter activity//ion binding//nucleoside binding//GTP binding//carbohydrate derivative binding//purine ribonucleoside triphosphate binding//hydrolase activity//binding//organic cyclic compound binding//nucleoside phosphate binding//guanyl nucleotide binding//purine nucleoside binding//nucleoside-triphosphatase activity//adenyl ribonucleotide binding//ATPase activity, coupled//purine ribonucleotide binding//ribonucleoside binding//transporter activity//active transmembrane transporter activity//anion binding//purine ribonucleoside binding","K16013 ATP-binding cassette, subfamily C, bacterial CydD | (RefSeq) cydD; glutathione/cysteine ABC transporter export permease/ATPase",http://www.genome.jp/dbget-bin/www_bget?eco:b0887,glutathione/cysteine ABC transporter export permease/ATPase,-18.938451663364035,794.0,681.0,1475.0
b2297,pta,-0.6198,DOWN,252.58163655559997,248.82509065857735,GO:0008150//GO:0008152,biological_process//metabolic process,--,--,GO:0016746//GO:0003824//GO:0003674//GO:0016740,"transferase activity, transferring acyl groups//catalytic activity//molecular_function//transferase activity",K13788 phosphate acetyltransferase [EC:2.3.1.8] | (RefSeq) pta; phosphate acetyltransferase,http://www.genome.jp/dbget-bin/www_bget?eco:b2297,phosphate acetyltransferase,3.756545897022619,454.0,1022.0,1476.0
b0624,flc,-1.0984,DOWN,44.1294305801403,58.10781049583969,--,--,GO:0016021//GO:0016020//GO:0031224//GO:0044425//GO:0005575,integral component of membrane//membrane//intrinsic component of membrane//membrane part//cellular_component,--,--,"K06199 CrcB protein | (RefSeq) flc; fluoride efflux channel, dual topology membrane protein",http://www.genome.jp/dbget-bin/www_bget?eco:b0624,fluoride efflux channel%2C dual topology membrane protein,-13.978379915699392,890.0,587.0,1477.0
b1539,ydfG,-0.63881,DOWN,231.8854726983815,239.83603870115132,GO:0008150//GO:0044699//GO:0055114//GO:0008152//GO:0044710,biological_process//single-organism process//oxidation-reduction process//metabolic process//single-organism metabolic process,--,--,GO:0016491//GO:0005488//GO:0003824//GO:0003674//GO:0048037//GO:0050662,oxidoreductase activity//binding//catalytic activity//molecular_function//cofactor binding//coenzyme binding,K16066 3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-] | (RefSeq) ydfG; NADP-dependent 3-hydroxy acid dehydrogenase; malonic semialdehyde reductase,http://www.genome.jp/dbget-bin/www_bget?eco:b1539,NADP-dependent 3-hydroxy acid dehydrogenase%3B malonic semialdehyde reductase,-7.950566002769818,474.0,1003.0,1477.0
b0222,gmhA,-0.55923,DOWN,307.7989519765505,296.52860361778335,GO:0008150//GO:0042221//GO:0009636//GO:0050896//GO:0008152//GO:0046677//GO:0044238//GO:0071704//GO:0005975,biological_process//response to chemical//response to toxic substance//response to stimulus//metabolic process//response to antibiotic//primary metabolic process//organic substance metabolic process//carbohydrate metabolic process,--,--,GO:0016410//GO:0034069//GO:0008080//GO:0030246//GO:0005488//GO:0016746//GO:0016407//GO:0016740//GO:0003674//GO:0003824//GO:0016747//GO:0046353,"N-acyltransferase activity//aminoglycoside N-acetyltransferase activity//N-acetyltransferase activity//carbohydrate binding//binding//transferase activity, transferring acyl groups//acetyltransferase activity//transferase activity//molecular_function//catalytic activity//transferase activity, transferring acyl groups other than amino-acyl groups//aminoglycoside 3-N-acetyltransferase activity",K03271 D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28] | (RefSeq) gmhA; D-sedoheptulose 7-phosphate isomerase,http://www.genome.jp/dbget-bin/www_bget?eco:b0222,D-sedoheptulose 7-phosphate isomerase,11.270348358767137,398.0,1080.0,1478.0
b1447,ydcZ,-1.2424,DOWN,22.973177094878302,35.3775099233603,--,--,--,--,--,--,K09936 bacterial/archaeal transporter family-2 protein | (RefSeq) ydcZ; DUF606 family inner membrane protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1447,DUF606 family inner membrane protein,-12.404332828481998,998.0,484.0,1482.0
b0424,yajL,-0.94168,DOWN,75.87620649987105,93.8587292952417,GO:1901576//GO:0008150//GO:0006807//GO:0018130//GO:1901564//GO:0006766//GO:0044699//GO:0044237//GO:0046483//GO:0006725//GO:1901566//GO:0009235//GO:0008152//GO:0042364//GO:0044710//GO:0044283//GO:0033014//GO:0044763//GO:0044271//GO:0044281//GO:0044711//GO:0009987//GO:0033013//GO:1901362//GO:1901360//GO:0006767//GO:0009058//GO:0071704//GO:0009110//GO:0019438//GO:0034641//GO:0044249//GO:0009236,organic substance biosynthetic process//biological_process//nitrogen compound metabolic process//heterocycle biosynthetic process//organonitrogen compound metabolic process//vitamin metabolic process//single-organism process//cellular metabolic process//heterocycle metabolic process//cellular aromatic compound metabolic process//organonitrogen compound biosynthetic process//cobalamin metabolic process//metabolic process//water-soluble vitamin biosynthetic process//single-organism metabolic process//small molecule biosynthetic process//tetrapyrrole biosynthetic process//single-organism cellular process//cellular nitrogen compound biosynthetic process//small molecule metabolic process//single-organism biosynthetic process//cellular process//tetrapyrrole metabolic process//organic cyclic compound biosynthetic process//organic cyclic compound metabolic process//water-soluble vitamin metabolic process//biosynthetic process//organic substance metabolic process//vitamin biosynthetic process//aromatic compound biosynthetic process//cellular nitrogen compound metabolic process//cellular biosynthetic process//cobalamin biosynthetic process,--,--,GO:0003674//GO:0003824,molecular_function//catalytic activity,K03152 4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis | (RefSeq) yajL; oxidative-stress-resistance chaperone,http://www.genome.jp/dbget-bin/www_bget?eco:b0424,oxidative-stress-resistance chaperone,-17.982522795370656,767.0,715.0,1482.0
b0924,mukB,-0.74037,DOWN,158.975786188667,180.41811198868334,GO:1902589//GO:1901362//GO:0065007//GO:0022414//GO:0009308//GO:1901360//GO:0009058//GO:0071704//GO:0044238//GO:0031323//GO:0019438//GO:0019953//GO:0009889//GO:0080090//GO:0034641//GO:0044703//GO:0044249//GO:0051704//GO:0008152//GO:0044710//GO:0051276//GO:0034654//GO:2001141//GO:0090304//GO:0044763//GO:0034645//GO:0044271//GO:0051252//GO:0010468//GO:0009987//GO:0071840//GO:0019219//GO:0009059//GO:0006323//GO:0044260//GO:0032774//GO:0044699//GO:0044237//GO:0046483//GO:0010556//GO:0050789//GO:0006725//GO:0031326//GO:0016043//GO:0007059//GO:0055114//GO:0043170//GO:0006355//GO:0000003//GO:0006139//GO:0008150//GO:1901576//GO:0030261//GO:0097659//GO:0006351//GO:0019222//GO:0006807//GO:0018130//GO:1901564//GO:0050794//GO:0051171//GO:0071103//GO:2000112//GO:0016070//GO:0060255//GO:0010467//GO:1903506//GO:0006996,"single-organism organelle organization//organic cyclic compound biosynthetic process//biological regulation//reproductive process//amine metabolic process//organic cyclic compound metabolic process//biosynthetic process//organic substance metabolic process//primary metabolic process//regulation of cellular metabolic process//aromatic compound biosynthetic process//sexual reproduction//regulation of biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//multi-organism reproductive process//cellular biosynthetic process//multi-organism process//metabolic process//single-organism metabolic process//chromosome organization//nucleobase-containing compound biosynthetic process//regulation of RNA biosynthetic process//nucleic acid metabolic process//single-organism cellular process//cellular macromolecule biosynthetic process//cellular nitrogen compound biosynthetic process//regulation of RNA metabolic process//regulation of gene expression//cellular process//cellular component organization or biogenesis//regulation of nucleobase-containing compound metabolic process//macromolecule biosynthetic process//DNA packaging//cellular macromolecule metabolic process//RNA biosynthetic process//single-organism process//cellular metabolic process//heterocycle metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//cellular component organization//chromosome segregation//oxidation-reduction process//macromolecule metabolic process//regulation of transcription, DNA-templated//reproduction//nucleobase-containing compound metabolic process//biological_process//organic substance biosynthetic process//chromosome condensation//nucleic acid-templated transcription//transcription, DNA-templated//regulation of metabolic process//nitrogen compound metabolic process//heterocycle biosynthetic process//organonitrogen compound metabolic process//regulation of cellular process//regulation of nitrogen compound metabolic process//DNA conformation change//regulation of cellular macromolecule biosynthetic process//RNA metabolic process//regulation of macromolecule metabolic process//gene expression//regulation of nucleic acid-templated transcription//organelle organization",GO:0042597//GO:0009295//GO:0005623//GO:0044464//GO:0005575,periplasmic space//nucleoid//cell//cell part//cellular_component,GO:0036094//GO:0017076//GO:1901363//GO:0000166//GO:0016638//GO:0032553//GO:0030554//GO:0016818//GO:0003677//GO:0016817//GO:0003676//GO:0016462//GO:0016887//GO:0003824//GO:0003674//GO:0005524//GO:0003712//GO:0000988//GO:0016787//GO:0097159//GO:0005488//GO:0043167//GO:0001882//GO:0097367//GO:0035639//GO:0043168//GO:0032550//GO:0016491//GO:0000989//GO:0032559//GO:0017111//GO:0032549//GO:0032555//GO:1901265//GO:0001883,"small molecule binding//purine nucleotide binding//heterocyclic compound binding//nucleotide binding//oxidoreductase activity, acting on the CH-NH2 group of donors//ribonucleotide binding//adenyl nucleotide binding//hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides//DNA binding//hydrolase activity, acting on acid anhydrides//nucleic acid binding//pyrophosphatase activity//ATPase activity//catalytic activity//molecular_function//ATP binding//transcription cofactor activity//transcription factor activity, protein binding//hydrolase activity//organic cyclic compound binding//binding//ion binding//nucleoside binding//carbohydrate derivative binding//purine ribonucleoside triphosphate binding//anion binding//purine ribonucleoside binding//oxidoreductase activity//transcription factor activity, transcription factor binding//adenyl ribonucleotide binding//nucleoside-triphosphatase activity//ribonucleoside binding//purine ribonucleotide binding//nucleoside phosphate binding//purine nucleoside binding","K03632 chromosome partition protein MukB | (RefSeq) mukB; chromosome condensin MukBEF, ATPase and DNA-binding subunit",http://www.genome.jp/dbget-bin/www_bget?eco:b0924,chromosome condensin MukBEF%2C ATPase and DNA-binding subunit,-21.442325800016334,569.0,917.0,1486.0
b2033,wbbJ,-0.9885,DOWN,60.97689225336035,78.94285820400803,--,--,--,--,--,--,K08280 lipopolysaccharide O-acetyltransferase [EC:2.3.1.-] | (RefSeq) wbbJ; putative lipopolysaccharide biosynthesis O-acetyl transferase,http://www.genome.jp/dbget-bin/www_bget?eco:b2033,putative lipopolysaccharide biosynthesis O-acetyl transferase,-17.965965950647686,813.0,674.0,1487.0
b1267,yciO,-0.93562,DOWN,74.73919424099284,95.80774363119883,--,--,--,--,GO:0008168//GO:0005488//GO:0097159//GO:0003723//GO:0003676//GO:0016740//GO:0016741//GO:0003725//GO:0003824//GO:0003674//GO:1901363,"methyltransferase activity//binding//organic cyclic compound binding//RNA binding//nucleic acid binding//transferase activity//transferase activity, transferring one-carbon groups//double-stranded RNA binding//catalytic activity//molecular_function//heterocyclic compound binding",no KO assigned | (RefSeq) yciO; putative RNA binding protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1267,putative RNA binding protein,-21.068549390205987,764.0,723.0,1487.0
